parsed 130 topic files, 1401 mermaid diagrams
cite-check: 344 warning(s)
  ! agentbox/01-nix-flake-composition.md:AB-01.1 — ../project/agentbox/flake.nix:652 is blank
  ! agentbox/01-nix-flake-composition.md:AB-01.6 — ../project/agentbox/flake.nix:1099 is punctuation only (']')
  ! agentbox/01-nix-flake-composition.md:AB-01.7 — ../project/agentbox/flake.nix:1080 is punctuation only ('};')
  ! agentbox/01-nix-flake-composition.md:AB-01.7 — ../project/agentbox/flake.nix:1092 is punctuation only ('};')
  ! agentbox/01-nix-flake-composition.md:AB-01.7 — ../project/agentbox/flake.nix:1099 is punctuation only (']')
  ! agentbox/01-nix-flake-composition.md:AB-01.7 — ../project/agentbox/flake.nix:1105 is punctuation only ('];')
  ! agentbox/01-nix-flake-composition.md:AB-01.10 — ../project/agentbox/flake.nix:652 is blank
  ! agentbox/02-boot-sequence-and-readiness.md:AB-02.4 — ../project/agentbox/flake.nix:2121 is blank
  ! agentbox/02-boot-sequence-and-readiness.md:AB-02.4 — ../project/agentbox/flake.nix:2265 is blank
  ! agentbox/02-boot-sequence-and-readiness.md:AB-02.6 — ../project/agentbox/flake.nix:1401 is blank
  ! agentbox/02-boot-sequence-and-readiness.md:AB-02.7 — ../project/agentbox/flake.nix:2374 is blank
  ! agentbox/02-boot-sequence-and-readiness.md:AB-02.8 — ../project/agentbox/flake.nix:2121 is blank
  ! agentbox/02-boot-sequence-and-readiness.md:AB-02.8 — ../project/agentbox/flake.nix:2125 is blank
  ! agentbox/07-daemons-reapers-cron-backups.md:AB-07.2 — ../project/agentbox/flake.nix:1827 is blank
  ! agentbox/07-daemons-reapers-cron-backups.md:AB-07.7 — ../project/agentbox/flake.nix:2438 is blank
  ! agentbox/07-daemons-reapers-cron-backups.md:AB-07.9 — ../project/agentbox/flake.nix:2265 is blank
  ! agentbox/08-hooks-pipeline.md:AB-08.1 — ../project/agentbox/config/entrypoint-unified.sh:1197 is blank
  ! agentbox/08-hooks-pipeline.md:AB-08.5 — ../project/agentbox/config/hooks/nostr-live-mirror.cjs:374 is blank
  ! agentbox/08-hooks-pipeline.md:AB-08.6 — ../project/agentbox/config/hooks/nostr-live-mirror.cjs:374 is blank
  ! agentbox/08-hooks-pipeline.md:AB-08.7 — ../project/agentbox/config/hooks/nostr-live-mirror.cjs:374 is blank
  ! agentbox/08-hooks-pipeline.md:AB-08.9 — ../project/agentbox/config/hooks/nostr-live-mirror.cjs:374 is blank
  ! agentbox/08-hooks-pipeline.md:AB-08.9 — ../project/agentbox/config/hooks/nostr-live-mirror.cjs:110 is blank
  ! agentbox/08-hooks-pipeline.md:AB-08.9 — ../project/agentbox/config/hooks/nostr-live-mirror.cjs:388 is punctuation only ('});')
  ! agentbox/08-hooks-pipeline.md:AB-08.9 — ../project/agentbox/config/hooks/nostr-live-mirror.cjs:395 is blank
  ! agentbox/08-hooks-pipeline.md:AB-08.9 — ../project/agentbox/config/hooks/nostr-live-mirror.cjs:425 is punctuation only ('}')
  ! agentbox/08-hooks-pipeline.md:AB-08.9 — ../project/agentbox/config/hooks/nostr-live-mirror.cjs:433 is blank
  ! agentbox/08-hooks-pipeline.md:AB-08.9 — ../project/agentbox/config/hooks/nostr-live-mirror.cjs:450 is blank
  ! agentbox/08-hooks-pipeline.md:AB-08.9 — ../project/agentbox/config/hooks/nostr-live-mirror.cjs:58 is blank
  ! agentbox/08-hooks-pipeline.md:AB-08.9 — ../project/agentbox/config/hooks/nostr-live-mirror.cjs:466 is punctuation only ('};')
  ! agentbox/08-hooks-pipeline.md:AB-08.9 — ../project/agentbox/config/hooks/nostr-live-mirror.cjs:505 is blank
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :46 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :56 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :78 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :160 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :246 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :266 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :89 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :107 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :128 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :144 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :382 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :408 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :169 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :188 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :201 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :218 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :332 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :374 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :367 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :295 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :303 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :320 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :416 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! dreamlab-ai-website/03-forum-config-overlay-zones-admin-kv-sync.md:DW-03.11 — bare :448 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/01-estate-topology.md:ES-01.1 — ../project/agentbox/docs/developer/native-pod-mesh.md:8484 past EOF (file has 393 lines)
  ! estate/01-estate-topology.md:ES-01.1 — ../project/agentbox/lib/solid-pod-rs.nix:8484 past EOF (file has 182 lines)
  ! estate/01-estate-topology.md:ES-01.2 — ../project/agentbox/docs/developer/hp-peer-node.md:8084 past EOF (file has 86 lines)
  ! estate/01-estate-topology.md:ES-01.2 — ../project/agentbox/skills/email-search/SKILL.md:8085 past EOF (file has 240 lines)
  ! estate/01-estate-topology.md:ES-01.2 — ../project/agentbox/docs/developer/hp-peer-node.md:8084 past EOF (file has 86 lines)
  ! estate/01-estate-topology.md:ES-01.2 — ../project/agentbox/docs/developer/hp-peer-node.md:8085 past EOF (file has 86 lines)
  ! estate/01-estate-topology.md:ES-01.2 — ../project/agentbox/skills/email-search/SKILL.md:9997 past EOF (file has 240 lines)
  ! estate/01-estate-topology.md:ES-01.2 — ../project/agentbox/skills/email-search/SKILL.md:9997 past EOF (file has 240 lines)
  ! estate/01-estate-topology.md:ES-01.2 — ../project/agentbox/skills/email-search/SKILL.md:9096 past EOF (file has 240 lines)
  ! estate/01-estate-topology.md:ES-01.2 — ../project/agentbox/skills/email-search/SKILL.md:7777 past EOF (file has 240 lines)
  ! estate/01-estate-topology.md:ES-01.3 — bare :165 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/01-estate-topology.md:ES-01.3 — bare :239 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/01-estate-topology.md:ES-01.3 — bare :350 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/01-estate-topology.md:ES-01.3 — bare :263 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/01-estate-topology.md:ES-01.3 — ../project/agentbox/docker-compose.yml:9096 past EOF (file has 201 lines)
  ! estate/01-estate-topology.md:ES-01.3 — ../project/agentbox/docker-compose.browsercontainer.yml:8084 past EOF (file has 70 lines)
  ! estate/01-estate-topology.md:ES-01.3 — ../project/agentbox/docker-compose.browsercontainer.yml:8085 past EOF (file has 70 lines)
  ! estate/01-estate-topology.md:ES-01.3 — ../project/agentbox/docker-compose.browsercontainer.yml:9997 past EOF (file has 70 lines)
  ! estate/01-estate-topology.md:ES-01.3 — ../project/agentbox/docker-compose.browsercontainer.yml:8765 past EOF (file has 70 lines)
  ! estate/01-estate-topology.md:ES-01.4 — ../project/docker-compose.unified.yml:370 is blank
  ! estate/01-estate-topology.md:ES-01.5 — bare :8443 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/03-cross-repo-federation-contract.md:ES-03.4 — ../project/src/uri/mod.rs:820 is punctuation only ('}')
  ! estate/03-cross-repo-federation-contract.md:ES-03.4 — ../project/src/uri/mod.rs:820 is punctuation only ('}')
  ! estate/03-cross-repo-federation-contract.md:ES-03.5 — ../project/agentbox/management-api/lib/bc20-provenance-bridge.js:254 is punctuation only ('}')
  ! estate/03-cross-repo-federation-contract.md:ES-03.5 — ../project/agentbox/management-api/lib/bc20-provenance-bridge.js:255 is blank
  ! estate/03-cross-repo-federation-contract.md:ES-03.7 — ../project/agentbox/management-api/lib/uris.js:165 is punctuation only ('}')
  ! estate/03-cross-repo-federation-contract.md:ES-03.7 — ../project/agentbox/management-api/lib/uris.js:171 is punctuation only ('}')
  ! estate/03-cross-repo-federation-contract.md:ES-03.7 — ../project/agentbox/management-api/lib/uris.js:179 is punctuation only ('}')
  ! estate/03-cross-repo-federation-contract.md:ES-03.7 — ../project/agentbox/management-api/lib/uris.js:181 is punctuation only ('}')
  ! estate/03-cross-repo-federation-contract.md:ES-03.8 — ../project/agentbox/management-api/routes/uri-resolver.js:60 is punctuation only ('}')
  ! estate/03-cross-repo-federation-contract.md:ES-03.8 — ../project/agentbox/management-api/routes/uri-resolver.js:74 is punctuation only ('}')
  ! estate/04-identity-mesh-did-nostr.md:ES-04.1 — ../project/agentbox/config/nip98-proxy/proxy.mjs:9096 past EOF (file has 1193 lines)
  ! estate/04-identity-mesh-did-nostr.md:ES-04.1 — ../project/agentbox/management-api/lib/agent-event-auth.js:9095 past EOF (file has 182 lines)
  ! estate/04-identity-mesh-did-nostr.md:ES-04.1 — ../project/client/src/services/nostrAuthService.ts:275 is blank
  ! estate/04-identity-mesh-did-nostr.md:ES-04.6 — ../project/agentbox/config/hooks/nostr-live-mirror.cjs:58 is blank
  ! estate/05-governance-loop-across-estate.md:ES-05.3 — ../project/agentbox/management-api/lib/authority.js:47 is blank
  ! estate/05-governance-loop-across-estate.md:ES-05.5 — ../project/agentbox/management-api/routes/broker-bridge.js:291 is blank
  ! estate/07-memory-and-embedding-estate.md:ES-07.2 — bare :9997 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/07-memory-and-embedding-estate.md:ES-07.2 — bare :5432 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/07-memory-and-embedding-estate.md:ES-07.3 — bare :9997 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/07-memory-and-embedding-estate.md:ES-07.6 — ../project/src/main.rs:1142 is blank
  ! estate/07-memory-and-embedding-estate.md:ES-07.7 — bare :228 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! estate/08-solid-pod-estate.md:ES-08.1 — ../project/agentbox/agentbox.toml:8484 past EOF (file has 1778 lines)
  ! estate/08-solid-pod-estate.md:ES-08.1 — ../project/agentbox/flake.nix:8484 past EOF (file has 3837 lines)
  ! estate/08-solid-pod-estate.md:ES-08.1 — ../project/agentbox/docker-compose.solid-pods.yml:3000 past EOF (file has 39 lines)
  ! estate/08-solid-pod-estate.md:ES-08.4 — ../project/src/handlers/solid_proxy_handler.rs:881 is blank
  ! estate/08-solid-pod-estate.md:ES-08.4 — ../project/src/handlers/solid_proxy_handler.rs:1651 is blank
  ! estate/08-solid-pod-estate.md:ES-08.5 — ../project/src/handlers/solid_proxy_handler.rs:1311 is blank
  ! estate/08-solid-pod-estate.md:ES-08.5 — ../project/src/handlers/solid_proxy_handler.rs:951 is blank
  ! estate/08-solid-pod-estate.md:ES-08.6 — ../project/src/handlers/solid_proxy_handler.rs:742 is blank
  ! estate/08-solid-pod-estate.md:ES-08.11 — ../project/src/main.rs:848 is blank
  ! estate/08-solid-pod-estate.md:ES-08.11 — ../project/src/services/ontology_pull.rs:384 is blank
  ! estate/08-solid-pod-estate.md:ES-08.11 — ../project/src/services/ontology_pull.rs:290 is punctuation only ('}')
  ! estate/08-solid-pod-estate.md:ES-08.11 — ../project/src/services/ontology_pull.rs:304 is punctuation only ('}')
  ! estate/08-solid-pod-estate.md:ES-08.11 — ../project/src/services/ontology_pull.rs:281 is punctuation only ('}')
  ! estate/08-solid-pod-estate.md:ES-08.11 — ../project/src/services/ontology_pull.rs:315 is punctuation only ('});')
  ! estate/08-solid-pod-estate.md:ES-08.11 — ../project/src/services/ontology_pull.rs:331 is punctuation only ('});')
