parsed 29 topic files, 353 mermaid diagrams
cite-check: 208 warning(s)
  ! agentbox/01-nix-flake-composition.md:AB-01.1 — ../project/agentbox/flake.nix:3682 is punctuation only ('};')
  ! agentbox/02-boot-sequence-and-readiness.md:AB-02.6 — ../project/agentbox/flake.nix:1939 is blank
  ! agentbox/02-boot-sequence-and-readiness.md:AB-02.8 — ../project/agentbox/flake.nix:2105 is blank
  ! agentbox/07-daemons-reapers-cron-backups.md:AB-07.9 — ../project/agentbox/flake.nix:1939 is blank
  ! agentbox/10-ingress-nip98-proxy-and-aoe.md:AB-10.1 — ../project/agentbox/flake.nix:1492 is blank
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.7 — bare :299 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :105 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :45 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :47 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :58 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :78 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :81 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :95 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :105 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :101 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :7 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :68 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :113 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :121 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :124 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :128 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :134 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :13 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.9 — bare :195 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.10 — ../project/agentbox/management-api/lib/failure-taxonomy.js:2 is blank
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.11 — ../project/agentbox/mcp/servers/precedent-bridge.js:311 past EOF (file has 279 lines)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.12 — bare :604 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.12 — ../project/agentbox/management-api/lib/project-primer.js:391 past EOF (file has 360 lines)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.12 — ../project/agentbox/management-api/lib/project-primer.js:405 past EOF (file has 360 lines)
  ! agentbox/14-governance-journal-actions-approvals.md:AB-14.12 — ../project/agentbox/management-api/lib/project-primer.js:456 past EOF (file has 360 lines)
  ! agentbox/15-capability-gating-spend-consultants.md:AB-15.3 — ../project/agentbox/management-api/routes/system.js:305 past EOF (file has 80 lines)
  ! agentbox/15-capability-gating-spend-consultants.md:AB-15.12 — ../project/agentbox/mcp/consultants/shared/spawn-cli.js:196 past EOF (file has 86 lines)
  ! agentbox/15-capability-gating-spend-consultants.md:AB-15.12 — ../project/agentbox/mcp/consultants/shared/spawn-cli.js:151 past EOF (file has 86 lines)
  ! agentbox/15-capability-gating-spend-consultants.md:AB-15.12 — ../project/agentbox/mcp/consultants/shared/consultant-base.js:242 is punctuation only ('},')
  ! agentbox/15-capability-gating-spend-consultants.md:AB-15.12 — ../project/agentbox/mcp/consultants/shared/consultant-base.js:264 is blank
  ! agentbox/20-ruvector-memory-path.md:AB-20.1 — bare :167 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.3 — bare :432 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.3 — bare :438 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.3 — bare :430 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.3 — bare :435 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :255 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :355 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :358 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :267 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :368 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :371 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :298 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :303 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :308 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :313 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :318 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :337 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :342 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :347 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :352 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :357 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :362 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :367 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :372 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :377 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.4 — bare :382 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.6 — bare :547 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.6 — bare :445 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/20-ruvector-memory-path.md:AB-20.9 — bare :32 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.1 — bare :31 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.2 — bare :441 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.2 — bare :433 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.2 — bare :452 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.2 — bare :19 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.4 — bare :16 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.4 — bare :47 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.4 — bare :71 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.4 — bare :331 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.4 — bare :24 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.4 — bare :473 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.4 — bare :86 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.4 — bare :45 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.4 — bare :28 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.4 — bare :474 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.4 — bare :400 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.4 — bare :118 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.5 — bare :9 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.5 — bare :32 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.5 — bare :11 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.5 — bare :18 on a message whose participant is declared without a path (bind the participant to a file, or qualify the ref)
  ! agentbox/21-learning-loop.md:AB-21.6 — ../project/agentbox/mcp/servers/lib/ruvector-gates.js:96 is blank
  ! agentbox/21-learning-loop.md:AB-21.6 — ../project/agentbox/mcp/servers/lib/ruvector-gates.js:111 is punctuation only ('}')
  ! agentbox/21-learning-loop.md:AB-21.9 — bare :412 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
  ! agentbox/21-learning-loop.md:AB-21.9 — bare :413 has no path anywhere before it in the diagram (qualify it, or reword if it is a port)
